date,symbol,close,trading_signal,confidence_level,position_size,sma,rsi,adx,cci,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change
2025-06-30,AAPL,205.17,HOLD,0.7,20,200.66,57.09,21.20,113.18,-0.55,-1.34,0.79,205.57,200.66,195.75,2,-2,-1,-1,-1,-1,-2
2025-06-27,AAPL,201.08,SELL,0.9,40,200.44,49.45,21.13,30.73,-0.88,-1.37,0.49,204.9,200.44,195.99,2,-2,-2,-2,-2,-2,-1
2025-06-26,AAPL,201.0,HOLD,0.7,20,200.38,49.28,22.1,17.2,-1.02,-1.49,0.47,204.83,200.38,195.93,1,-1,-1,-1,-1,-1,1
2025-06-25,AAPL,201.56,HOLD,0.7,20,200.36,50.38,22.91,52.32,-1.18,-1.61,0.43,204.8,200.36,195.91,2,0,0,0,-1,0,-1
2025-06-24,AAPL,200.3,HOLD,0.7,20,200.29,48.04,21.64,32.52,-1.38,-1.67,0.29,204.69,200.29,195.88,1,-1,-1,-1,-1,-1,1
2025-06-23,AAPL,201.5,HOLD,0.7,20,200.04,50.3,22.02,25.27,-1.5,-1.69,0.19,204.96,200.04,195.12,1,-1,0,0,0,-1,1
2025-06-20,AAPL,201.0,SELL,0.9,40,200.03,50.68,14.5,-11.0,-1.18,-0.86,-0.32,204.94,200.03,195.12,2,-2,-2,-2,-1,-2,-2
2025-06-19,AAPL,196.58,HOLD,0.7,20,200.08,42.49,15.12,-124.88,-1.43,-0.78,-0.65,205.06,200.08,195.11,1,0,0,0,0,-1,0
2025-06-18,AAPL,196.58,HOLD,0.7,20,200.08,42.49,15.12,-124.88,-1.43,-0.78,-0.65,205.06,200.08,195.11,1,0,0,0,1,0,0
2025-06-17,AAPL,195.64,SELL,0.8,40,200.6,40.54,14.28,-140.33,-1.29,-0.62,-0.67,206.12,200.6,195.08,1,-1,-1,-1,0,-1,1
2025-06-16,AAPL,198.42,HOLD,0.7,20,201.25,44.38,13.7,-107.97,-1.16,-0.67,-0.49,207.35,201.25,195.16,1,1,1,1,1,1,0
2025-06-13,AAPL,196.45,SELL,0.8,40,201.9,40.11,16.49,-121.28,-1.29,-0.8,-0.49,209.24,201.9,194.55,2,-2,-1,-1,-2,-1,1
2025-06-12,AAPL,199.2,HOLD,0.7,20,202.65,44.14,15.61,-95.45,-0.96,-0.68,-0.29,210.65,202.65,194.65,1,-1,0,-1,-1,-1,1
2025-06-11,AAPL,198.78,HOLD,0.7,20,203.3,43.34,15.0,-59.51,-0.81,-0.6,-0.21,212.17,203.3,194.43,1,0,0,0,1,0,0
2025-06-10,AAPL,202.67,HOLD,0.6,20,204.01,49.91,9.42,-27.09,-0.38,-0.27,-0.1,213.56,204.01,194.47,2,-1,-1,-1,0,-1,1
2025-06-09,AAPL,201.45,HOLD,0.6,20,204.42,48.49,10.81,-31.56,-0.09,0.23,-0.33,214.38,204.42,194.45,1,-1,-1,-1,-1,-1,1
2025-06-06,AAPL,203.92,SELL,0.8,40,204.26,53.18,12.22,-4.73,0.36,0.81,-0.46,214.5,204.26,194.01,2,-1,-1,-1,-1,-1,1
2025-06-05,AAPL,200.63,SELL,0.8,40,203.92,48.02,13.14,-30.64,0.23,0.93,-0.7,214.62,203.92,193.23,2,-2,-1,-1,-2,-1,1
2025-06-04,AAPL,202.82,SELL,0.8,40,203.69,51.53,13.92,2.39,0.4,1.1,-0.7,214.85,203.69,192.53,2,-2,-1,-1,-1,-1,1
2025-06-03,AAPL,203.27,HOLD,0.6,20,203.46,51.68,11.81,-8.81,0.09,0.83,-0.74,214.87,203.46,192.06,1,0,0,0,0,0,-1
2025-06-02,AAPL,201.7,HOLD,0.6,20,203.23,48.27,12.45,-25.47,-0.66,0.07,-0.74,214.83,203.23,191.63,1,0,0,0,0,0,-1
2025-05-30,AAPL,200.85,SELL,0.9,40,203.4,45.78,18.82,-47.73,-1.52,-0.9,-0.62,215.01,203.4,191.79,2,-2,-2,-2,-2,-1,-2
2025-05-29,AAPL,199.95,HOLD,0.6,20,204.01,44.51,18.37,-41.06,-1.49,-0.74,-0.75,216.28,204.01,191.74,1,0,0,0,0,-1,0
2025-05-28,AAPL,200.42,SELL,0.9,40,204.62,45.02,18.13,-42.63,-1.34,-0.55,-0.79,217.24,204.62,192.01,2,-2,-2,-2,-1,-2,-2
2025-05-27,AAPL,200.21,SELL,0.9,40,205.15,45.03,16.63,-66.51,-0.99,-0.08,-0.91,217.9,205.15,192.4,2,-2,-2,-2,-1,-2,-2
2025-05-26,AAPL,195.27,HOLD,0.7,20,205.63,38.4,17.25,-123.5,-0.99,-0.2,-0.8,218.33,205.63,192.94,1,0,0,0,0,0,0
2025-05-23,AAPL,195.27,SELL,0.9,40,205.63,38.65,15.5,-123.5,-0.87,-0.05,-0.82,218.33,205.63,192.94,2,-2,-2,-2,-1,-2,-2
2025-05-22,AAPL,201.36,HOLD,0.6,20,206.32,44.45,14.3,-65.14,-0.04,0.15,-0.19,218.15,206.32,194.48,1,1,1,1,1,1,0
2025-05-21,AAPL,202.09,SELL,0.8,40,206.66,45.2,13.84,-43.8,0.41,0.2,0.21,218.29,206.66,195.02,1,-1,-1,-1,0,-1,1
2025-05-20,AAPL,206.86,SELL,0.8,40,206.77,50.53,12.51,6.3,1.0,0.27,0.74,218.26,206.77,195.27,1,-1,-1,-1,-1,-1,1
2025-05-19,AAPL,208.78,SELL,0.8,40,206.4,53.01,12.84,20.93,1.31,0.3,1.01,218.33,206.4,194.47,2,-2,-2,-2,-2,-1,-2
2025-05-16,AAPL,211.26,HOLD,0.6,20,205.6,55.97,14.9,71.49,1.29,-0.01,1.3,218.83,205.6,192.38,2,1,1,1,1,1,-1
2025-05-15,AAPL,211.45,HOLD,0.6,20,204.88,56.19,15.38,79.0,0.99,-0.33,1.32,218.38,204.88,191.38,1,0,0,0,1,0,0
2025-05-14,AAPL,212.33,BUY,0.8,40,204.01,57.18,15.89,96.19,0.57,-0.66,1.23,217.94,204.01,190.07,2,1,2,2,1,1,1
2025-05-13,AAPL,212.93,BUY,0.8,40,203.48,57.84,15.82,102.08,-0.05,-0.95,0.91,216.91,203.48,190.06,2,1,1,1,0,1,0
2025-05-12,AAPL,210.79,BUY,0.8,40,202.95,56.36,17.48,85.17,-0.76,-0.96,0.2,215.66,202.95,190.24,2,1,2,2,1,1,0
2025-05-09,AAPL,198.27,SELL,0.8,40,202.3,44.09,20.02,-42.92,-2.31,-1.99,-0.33,214.66,202.3,189.95,2,-1,-1,-1,0,-1,-1
2025-05-08,AAPL,197.23,SELL,0.9,40,201.9,42.95,19.88,-51.2,-2.17,-1.91,-0.27,215.25,201.9,188.55,2,-2,-2,-2,-2,-1,-1
2025-05-07,AAPL,195.99,SELL,0.8,40,201.97,41.63,19.64,-56.43,-1.86,-1.84,-0.02,215.23,201.97,188.7,2,-1,-1,-1,0,-1,1
2025-05-06,AAPL,198.25,SELL,0.8,40,200.78,42.89,23.64,-17.08,-1.78,-2.53,0.75,219.23,200.78,182.33,2,-1,-1,-1,0,-1,0
2025-05-05,AAPL,198.63,HOLD,0.6,20,199.93,43.34,20.46,5.33,-1.16,-2.52,1.35,220.24,199.93,179.61,2,1,1,1,1,1,0
2025-05-02,AAPL,205.08,HOLD,0.6,20,199.4,48.04,21.79,44.37,-0.68,-2.95,2.27,220.36,199.4,178.45,2,-1,-1,-1,-1,-1,-1
2025-05-01,AAPL,213.04,HOLD,0.6,20,199.29,55.01,22.52,105.27,-0.59,-3.52,2.93,220.15,199.29,178.43,2,-1,-1,-1,0,-1,-1
2025-04-30,AAPL,212.22,HOLD,0.6,20,199.82,54.38,24.22,84.15,-1.28,-4.25,2.97,222.5,199.82,177.14,2,-1,-1,-1,-1,-1,-1
2025-04-29,AAPL,210.93,HOLD,0.6,20,200.36,53.26,23.99,73.02,-2.22,-5.16,2.94,224.62,200.36,176.09,2,-1,-1,-1,0,-1,-1
2025-04-28,AAPL,209.86,BUY,0.8,40,200.9,52.66,28.73,59.28,-2.87,-5.57,2.7,226.55,200.9,175.25,2,1,1,1,1,1,0
2025-04-25,AAPL,209.01,HOLD,0.6,20,201.29,51.74,32.6,44.84,-4.17,-6.77,2.6,227.69,201.29,174.89,2,-1,-1,-1,0,-1,-1
2025-04-24,AAPL,208.1,HOLD,0.6,20,202.02,51.16,34.85,27.15,-5.22,-7.42,2.2,229.98,202.02,174.05,2,-1,-1,-1,-1,-1,-1
2025-04-23,AAPL,204.33,BUY,0.8,40,202.67,48.76,37.16,12.07,-6.39,-7.97,1.58,231.77,202.67,173.57,2,1,1,1,1,1,0
2025-04-22,AAPL,199.48,SELL,0.9,40,203.63,45.61,39.73,-24.4,-7.34,-8.29,0.95,234.11,203.63,173.15,1,-2,-1,-1,-1,-2,-1
2025-04-21,AAPL,192.91,SELL,0.9,40,204.68,40.97,39.38,-61.84,-8.05,-8.55,0.5,235.95,204.68,173.41,2,-2,-2,-2,-2,-2,-2
2025-04-18,AAPL,196.72,SELL,0.9,40,205.93,42.98,38.26,-45.78,-8.09,-8.62,0.53,237.22,205.93,174.64,2,-2,-2,-2,-2,-2,-2
2025-04-17,AAPL,196.72,SELL,0.9,40,205.93,42.98,38.26,-45.78,-8.09,-8.62,0.53,237.22,205.93,174.64,2,-2,-2,-2,-2,-1,-2
2025-04-16,AAPL,194.02,SELL,0.9,40,206.79,41.12,39.43,-55.05,-8.48,-8.76,0.28,237.96,206.79,175.61,1,-1,-1,-1,0,-1,-1
2025-04-11,AAPL,197.89,HOLD,0.7,30,208.93,43.11,29.1,-72.74,-9.65,-7.9,-1.75,239.61,208.93,178.26,1,1,1,1,1,1,1
2025-04-10,AAPL,190.17,HOLD,0.8,30,209.7,38.21,28.78,-111.14,-10.19,-7.46,-2.73,240.0,209.7,179.4,2,1,1,1,1,1,1
2025-04-09,AAPL,198.59,SELL,1.0,40,210.66,41.86,27.67,-126.86,-9.94,-6.78,-3.16,239.61,210.66,181.71,2,-1,-1,-1,-1,-1,-1
2025-04-08,AAPL,172.19,SELL,1.0,40,211.57,19.41,26.77,-249.97,-10.32,-5.96,-4.37,240.08,211.57,183.06,2,-2,-2,-2,-1,-2,-2
2025-04-07,AAPL,181.22,SELL,1.0,40,213.98,22.04,25.19,-287.42,-8.22,-5.17,-3.05,236.25,213.98,191.72,2,-2,-2,-2,-1,-2,-2
2025-04-04,AAPL,188.13,HOLD,0.9,30,216.28,24.73,25.39,-283.93,-5.88,-4.06,-1.82,233.45,216.28,199.12,2,-2,-1,-1,-1,-1,-1
2025-04-03,AAPL,202.92,SELL,1.0,40,218.81,31.61,22.95,-188.89,-3.73,-3.6,-0.13,233.36,218.81,204.27,2,-2,-2,-2,-2,-2,-2
2025-04-02,AAPL,223.6,HOLD,0.8,30,220.42,49.45,21.36,34.03,-2.44,-3.57,1.13,234.68,220.42,206.16,2,-1,-1,-1,-1,-1,1
