date,symbol,close,trading_signal,confidence_level,position_size,sma,rsi,adx,cci,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change
2025-06-30,META,738.09,HOLD,0.7,30,698.21,73.23,43.82,217.73,22.75,21.18,1.58,734.67,698.21,661.76,2,1,1,1,1,1,-1
2025-06-27,META,733.63,HOLD,0.7,30,693.66,72.38,44.02,186.0,22.67,22.04,0.63,731.77,693.66,655.54,2,1,1,1,2,1,-1
2025-06-26,META,726.09,HOLD,0.7,30,689.2,70.66,43.74,148.03,21.51,21.88,-0.37,728.4,689.2,650.01,2,2,1,1,1,2,1
2025-06-24,META,712.2,HOLD,0.7,30,681.71,68.14,45.55,100.81,20.76,22.47,-1.71,724.58,681.71,638.84,2,1,1,1,1,1,0
2025-06-23,META,698.53,HOLD,0.7,30,677.43,64.53,48.52,47.45,20.96,23.73,-2.77,724.19,677.43,630.67,1,0,0,0,1,0,-1
2025-06-20,META,682.35,HOLD,0.7,30,674.31,60.03,54.74,38.62,23.56,27.28,-3.73,723.3,674.31,625.31,1,1,1,1,1,1,0
2025-06-19,META,695.77,HOLD,0.7,30,671.94,67.76,56.78,70.13,25.79,28.21,-2.42,723.65,671.94,620.23,1,1,1,1,1,1,0
2025-06-18,META,695.77,HOLD,0.7,30,671.94,67.76,56.78,70.13,25.79,28.21,-2.42,723.65,671.94,620.23,2,1,1,1,2,1,0
2025-06-17,META,697.23,HOLD,0.7,30,668.98,68.66,57.28,83.18,26.91,28.82,-1.91,721.66,668.98,616.3,2,2,2,2,2,2,0
2025-06-16,META,702.12,HOLD,0.7,30,666.12,71.05,50.2,94.63,27.04,28.29,-1.24,718.57,666.12,613.66,2,2,2,2,2,2,1
2025-06-13,META,682.34,HOLD,0.7,30,663.0,64.7,38.94,63.91,25.99,27.03,-1.04,713.91,663.0,612.1,2,1,1,1,1,1,-1
2025-06-12,META,692.83,HOLD,0.7,30,661.06,71.26,39.19,87.1,27.73,27.29,0.44,711.84,661.06,610.28,2,1,1,1,1,1,0
