date,symbol,close,trading_signal,confidence_level,position_size,sma,rsi,adx,cci,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change
2025-06-30,NFLX,1339.13,HOLD,0.8,30,1246.01,79.17,20.59,206.12,32.86,23.61,9.25,1321.91,1246.01,1170.12,1,1,1,1,1,1,0
2025-06-27,NFLX,1323.12,HOLD,0.8,30,1239.42,77.34,22.38,221.3,29.71,22.45,7.26,1303.86,1239.42,1174.98,0,0,0,0,0,0,0
2025-06-25,NFLX,1275.25,HOLD,0.8,30,1227.6,69.84,19.92,212.78,22.1,19.35,2.76,1273.14,1227.6,1182.06,1,1,1,1,1,1,0
2025-06-24,NFLX,1279.11,HOLD,0.8,30,1224.41,71.65,17.1,219.69,20.66,19.19,1.47,1264.79,1224.41,1184.04,2,2,1,1,2,1,0
2025-06-23,NFLX,1253.54,HOLD,0.8,30,1219.73,66.64,17.49,107.93,17.87,19.08,-1.21,1255.07,1219.73,1184.39,1,1,1,1,1,1,0
2025-06-20,NFLX,1231.41,BUY,0.9,30,1216.45,62.53,29.47,87.35,20.92,25.73,-4.81,1250.79,1216.45,1182.11,2,2,2,2,1,2,1
2025-06-19,NFLX,1222.29,HOLD,0.8,30,1214.61,60.06,30.28,65.97,21.41,26.94,-5.53,1249.48,1214.61,1179.74,1,1,1,1,1,1,0
2025-06-18,NFLX,1222.29,HOLD,0.8,30,1214.61,60.06,30.28,65.97,21.41,26.94,-5.53,1249.48,1214.61,1179.74,2,1,1,1,1,1,0
2025-06-17,NFLX,1220.67,HOLD,0.8,30,1213.1,59.63,31.43,48.98,22.65,28.32,-5.67,1249.11,1213.1,1177.08,2,2,2,2,2,2,1
2025-06-16,NFLX,1225.35,HOLD,0.8,30,1211.65,61.62,36.62,47.41,24.74,30.64,-5.9,1248.65,1211.65,1174.64,1,1,1,1,1,1,0
2025-06-13,NFLX,1212.15,HOLD,0.8,30,1209.95,58.76,42.1,10.9,27.41,34.5,-7.08,1247.39,1209.95,1172.52,1,1,1,1,1,1,0
2025-06-12,NFLX,1215.03,HOLD,0.8,30,1208.25,59.77,44.87,46.98,29.83,36.27,-6.44,1248.16,1208.25,1168.33,1,1,1,1,1,1,0
2025-06-11,NFLX,1219.88,HOLD,0.8,30,1205.04,61.44,47.35,40.02,32.19,37.88,-5.68,1251.93,1205.04,1158.16,1,0,0,0,1,0,0
2025-06-10,NFLX,1203.62,HOLD,0.8,30,1200.97,57.95,50.13,14.81,34.83,40.11,-5.28,1255.52,1200.97,1146.43,1,1,0,1,1,1,0
2025-06-09,NFLX,1224.46,HOLD,0.8,30,1196.29,65.22,53.23,87.62,38.52,41.24,-2.72,1263.68,1196.29,1128.9,0,0,0,0,0,0,0
2025-06-06,NFLX,1241.47,HOLD,0.8,30,1192.08,72.21,56.56,140.53,42.84,44.86,-2.03,1262.37,1192.08,1121.79,1,1,0,1,0,1,0
2025-06-05,NFLX,1250.52,HOLD,0.8,30,1187.23,76.07,57.07,164.77,43.46,45.37,-1.91,1256.6,1187.23,1117.85,2,2,2,2,2,2,1
2025-06-04,NFLX,1239.66,HOLD,0.8,30,1182.47,74.55,57.51,136.96,42.71,45.85,-3.14,1246.69,1182.47,1118.26,2,2,2,2,2,2,1
2025-06-03,NFLX,1217.94,HOLD,0.7,30,1177.37,71.27,48.37,110.39,42.77,47.46,-4.68,1238.75,1177.37,1116.0,1,1,1,1,1,1,0
2025-06-02,NFLX,1218.98,HOLD,0.7,30,1173.18,70.42,37.15,99.33,41.06,45.01,-3.94,1234.35,1173.18,1112.01,1,1,1,1,0,1,0
2025-05-30,NFLX,1207.23,BUY,0.9,30,1170.06,68.12,35.95,80.45,40.74,45.12,-4.39,1227.84,1170.06,1112.27,2,2,2,2,2,2,1
2025-05-29,NFLX,1184.86,HOLD,0.7,30,1166.37,64.0,36.94,63.51,41.74,46.22,-4.48,1223.61,1166.37,1109.13,0,0,0,0,0,0,0
2025-05-28,NFLX,1208.55,HOLD,0.7,30,1163.71,73.31,38.11,119.68,44.69,47.34,-2.65,1222.19,1163.71,1105.23,0,0,0,0,0,0,0
2025-05-27,NFLX,1211.57,HOLD,0.7,30,1159.56,74.57,31.4,124.98,45.34,47.93,-2.59,1216.47,1159.56,1102.65,2,1,1,1,1,1,1
2025-05-26,NFLX,1185.39,HOLD,0.7,30,1154.51,69.43,25.16,91.15,43.35,45.92,-2.57,1210.0,1154.51,1099.01,0,0,0,0,0,0,0
2025-05-23,NFLX,1185.39,HOLD,0.7,30,1154.51,69.18,28.65,91.15,43.48,45.86,-2.38,1210.0,1154.51,1099.01,1,1,1,1,1,1,0
2025-05-22,NFLX,1187.97,HOLD,0.7,30,1150.31,70.2,28.45,118.12,45.25,46.46,-1.2,1208.44,1150.31,1092.18,0,0,0,0,0,0,0
2025-05-21,NFLX,1194.63,HOLD,0.7,30,1145.76,72.79,27.79,147.79,46.6,46.76,-0.15,1205.62,1145.76,1085.89,1,-1,-1,-1,0,-1,0
2025-05-20,NFLX,1192.02,HOLD,0.7,30,1138.51,72.5,28.6,134.8,47.45,47.32,0.13,1207.39,1138.51,1069.62,1,1,1,1,1,1,0
2025-05-19,NFLX,1191.64,HOLD,0.7,30,1130.92,72.51,29.12,134.41,47.93,47.68,0.25,1207.54,1130.92,1054.31,2,-1,-1,-1,0,-1,0
2025-05-16,NFLX,1191.53,HOLD,0.7,30,1120.73,72.25,32.17,140.72,47.48,47.22,0.26,1214.59,1120.73,1026.88,2,2,2,2,2,2,1
2025-05-15,NFLX,1177.98,HOLD,0.7,30,1109.81,70.62,31.63,106.33,46.15,47.16,-1.01,1217.94,1109.81,1001.68,1,1,1,1,1,1,0
2025-05-14,NFLX,1150.99,BUY,0.8,30,1098.99,67.03,31.24,67.55,45.16,47.41,-2.25,1220.18,1098.99,977.81,1,1,1,1,1,1,1
2025-05-13,NFLX,1138.44,HOLD,0.7,30,1090.26,65.43,31.64,53.98,47.32,49.63,-2.31,1220.07,1090.26,960.44,0,0,0,0,0,0,0
2025-05-12,NFLX,1110.0,HOLD,0.7,30,1079.9,61.11,32.48,39.93,50.24,51.73,-1.49,1224.85,1079.9,934.94,0,0,0,0,0,0,0
2025-05-09,NFLX,1140.22,HOLD,0.7,30,1070.31,70.03,34.94,70.55,55.51,52.93,2.58,1230.58,1070.31,910.04,0,0,0,0,0,0,0
2025-05-08,NFLX,1144.43,HOLD,0.7,30,1059.36,71.38,34.52,82.29,57.47,52.28,5.19,1228.71,1059.36,890.01,1,0,0,0,0,0,0
2025-05-07,NFLX,1155.41,HOLD,0.7,30,1049.41,74.86,33.73,92.77,58.72,50.99,7.73,1220.96,1049.41,877.86,1,1,1,1,1,1,0
2025-05-06,NFLX,1137.69,SELL,0.8,30,1035.16,72.5,33.33,87.61,57.32,47.61,9.71,1216.21,1035.16,854.11,2,-2,-1,-1,-2,-1,-2
2025-05-05,NFLX,1134.06,SELL,0.8,30,1021.67,71.86,29.65,88.21,57.07,44.29,12.79,1210.21,1021.67,833.13,2,-2,-1,-1,-1,-1,-1
2025-05-02,NFLX,1156.49,HOLD,0.7,30,1007.76,77.43,27.34,114.84,54.2,37.05,17.15,1202.04,1007.76,813.47,1,1,1,1,0,1,0
2025-05-01,NFLX,1133.47,HOLD,0.7,30,995.79,75.23,25.83,114.93,50.83,32.77,18.07,1181.25,995.79,810.33,0,0,0,0,0,0,0
2025-04-30,NFLX,1131.72,HOLD,0.7,30,985.89,75.06,24.54,126.35,48.14,28.25,19.89,1161.78,985.89,810.0,0,0,0,0,0,0,0
2025-04-29,NFLX,1125.64,HOLD,0.7,30,975.72,74.4,22.58,143.78,43.89,22.99,20.9,1139.83,975.72,811.61,1,1,1,1,1,1,0
2025-04-28,NFLX,1110.38,HOLD,0.7,30,966.07,73.04,21.6,155.69,39.52,18.96,20.56,1115.86,966.07,816.27,1,0,0,0,0,0,-1
2025-04-25,NFLX,1101.53,HOLD,0.7,30,957.24,71.82,22.98,185.38,33.03,12.49,20.54,1092.03,957.24,822.45,2,1,1,1,1,1,0
2025-04-24,NFLX,1096.87,HOLD,0.7,30,951.0,71.39,21.61,198.03,26.39,7.36,19.03,1069.0,951.0,833.0,2,2,2,2,2,2,1
2025-04-23,NFLX,1049.59,HOLD,0.7,20,944.69,66.56,20.25,179.44,18.0,2.6,15.4,1042.6,944.69,846.77,1,1,1,1,1,1,0
2025-04-22,NFLX,1040.34,BUY,0.9,40,942.07,65.35,20.95,179.82,11.23,-2.05,13.28,1031.02,942.07,853.12,2,1,1,1,1,1,0
2025-04-21,NFLX,987.91,BUY,0.9,40,938.66,58.24,21.89,116.78,3.2,-6.55,9.75,1016.84,938.66,860.47,2,2,2,2,2,2,1
2025-04-18,NFLX,973.03,BUY,0.9,40,937.27,55.81,23.52,78.98,-1.19,-9.78,8.59,1012.87,937.27,861.68,2,2,1,1,1,2,0
2025-04-17,NFLX,973.03,BUY,0.9,40,937.27,55.81,23.52,78.98,-1.19,-9.78,8.59,1012.87,937.27,861.68,2,2,2,2,1,2,1
2025-04-16,NFLX,961.63,BUY,0.9,40,936.17,54.02,25.18,66.4,-4.68,-11.92,7.24,1010.26,936.17,862.07,2,2,2,2,2,2,1
2025-04-15,NFLX,976.28,BUY,0.9,40,936.06,56.55,28.74,90.73,-8.85,-15.2,6.34,1010.01,936.06,862.1,2,2,2,2,2,2,1
2025-04-14,NFLX,931.28,HOLD,0.7,10,933.74,49.35,27.27,-0.07,-13.8,-16.03,2.22,1005.38,933.74,862.11,1,0,0,0,0,0,0
2025-04-11,NFLX,918.29,HOLD,0.7,10,934.68,47.13,24.92,-27.62,-15.34,-15.81,0.46,1006.65,934.68,862.71,0,1,0,1,0,1,0
2025-04-10,NFLX,921.17,SELL,0.8,20,934.67,47.59,25.36,-36.99,-16.63,-15.92,-0.7,1006.65,934.67,862.68,2,-1,-1,-1,0,-1,1
2025-04-09,NFLX,945.47,HOLD,0.7,10,933.12,51.53,25.7,-37.55,-18.31,-15.74,-2.57,1007.49,933.12,858.74,2,1,1,1,2,2,0
2025-04-08,NFLX,870.4,HOLD,0.8,10,931.83,36.64,25.17,-118.11,-22.11,-14.36,-7.74,1006.2,931.83,857.46,1,0,0,0,-1,-1,1
2025-04-07,NFLX,867.83,HOLD,0.8,10,933.06,35.99,22.24,-165.04,-19.73,-12.64,-7.08,1004.05,933.06,862.07,0,0,0,0,0,0,0
2025-04-04,NFLX,855.86,HOLD,0.8,10,933.0,33.52,15.73,-149.13,-14.67,-8.93,-5.74,1004.21,933.0,861.8,0,0,0,0,0,0,0
2025-04-03,NFLX,917.05,HOLD,0.7,10,934.77,42.54,14.41,-30.92,-8.42,-7.5,-0.93,999.72,934.77,869.82,0,0,0,0,0,0,0
2025-04-02,NFLX,935.52,HOLD,0.7,10,934.23,46.01,14.14,-0.62,-6.56,-7.27,0.71,999.93,934.23,868.54,0,0,0,0,0,0,0
2025-04-01,NFLX,928.38,HOLD,0.7,10,937.0,44.4,15.45,-28.76,-5.88,-7.24,1.37,1007.2,937.0,866.81,0,0,0,0,0,0,0
2025-03-31,NFLX,932.53,HOLD,0.7,10,939.21,45.18,15.62,-36.47,-4.15,-7.2,3.05,1010.95,939.21,867.47,1,1,1,1,1,1,0
2025-03-28,NFLX,933.85,SELL,0.8,20,941.27,45.41,17.04,9.8,-2.45,-7.6,5.15,1014.47,941.27,868.07,1,-1,-1,-1,0,-1,1
2025-03-27,NFLX,976.72,HOLD,0.7,10,943.61,53.29,17.46,73.01,-0.42,-8.88,8.47,1018.67,943.61,868.55,0,0,0,0,0,0,0
2025-03-26,NFLX,970.65,HOLD,0.7,10,942.92,52.2,18.36,74.63,-2.18,-11.0,8.82,1017.01,942.92,868.84,0,0,0,0,0,0,0
2025-03-25,NFLX,997.28,BUY,0.8,40,943.89,57.62,20.17,99.86,-4.02,-13.49,9.47,1019.89,943.89,867.9,1,1,1,1,1,1,0
2025-03-24,NFLX,971.99,BUY,0.9,40,942.89,53.22,21.56,51.78,-9.05,-16.23,7.18,1016.54,942.89,869.24,2,2,2,2,2,2,1
2025-03-21,NFLX,960.29,HOLD,0.7,10,943.72,52.06,22.18,22.41,-7.86,-11.54,3.68,1019.0,943.72,868.43,1,0,0,0,0,0,0
2025-03-20,NFLX,950.84,BUY,0.8,20,945.86,50.4,23.79,14.49,-10.42,-12.46,2.04,1025.23,945.86,866.48,1,1,1,1,1,1,0
2025-03-19,NFLX,959.49,HOLD,0.7,10,949.54,51.93,25.56,-0.22,-12.56,-12.97,0.41,1036.03,949.54,863.06,0,0,0,0,0,0,0
2025-03-18,NFLX,929.98,BUY,0.8,20,953.74,46.91,29.24,-37.72,-15.47,-12.25,-3.22,1049.38,953.74,858.09,2,2,2,2,1,2,1
2025-03-17,NFLX,950.02,HOLD,0.7,10,959.03,50.44,31.68,-14.93,-15.88,-10.29,-5.58,1060.38,959.03,857.68,1,1,1,1,0,1,0
2025-03-14,NFLX,918.0,HOLD,0.7,10,964.46,44.59,34.7,-76.19,-18.93,-8.41,-10.52,1074.55,964.46,854.36,1,0,0,0,0,0,0
2025-03-13,NFLX,890.17,HOLD,0.8,10,970.74,38.73,35.72,-106.89,-19.41,-5.78,-13.64,1083.82,970.74,857.66,0,0,0,0,0,0,0
2025-03-12,NFLX,919.68,HOLD,0.8,10,977.6,43.23,36.8,-97.78,-16.91,-2.37,-14.54,1086.87,977.6,868.33,0,0,0,0,0,0,0
2025-03-11,NFLX,895.1,HOLD,0.9,10,982.02,37.65,37.46,-152.25,-16.36,1.46,-17.82,1088.68,982.02,875.36,0,0,0,0,0,0,0
2025-03-07,NFLX,891.11,HOLD,0.9,10,996.01,33.08,30.16,-237.63,-7.86,7.73,-15.59,1079.92,996.01,912.09,0,0,0,0,0,0,0
2025-03-06,NFLX,906.36,HOLD,0.9,10,1002.24,35.19,28.94,-197.2,-1.11,11.63,-12.74,1071.25,1002.24,933.22,0,0,0,0,0,0,0
2025-03-05,NFLX,990.92,HOLD,0.8,10,1007.47,52.4,28.4,-66.27,5.97,14.82,-8.84,1060.68,1007.47,954.27,0,0,0,0,0,0,0
2025-03-04,NFLX,972.58,HOLD,0.8,10,1007.67,47.21,28.34,-120.2,6.35,17.06,-10.71,1060.66,1007.67,954.68,0,0,0,0,0,0,0
