date,symbol,close,trading_signal,confidence_level,position_size,sma,rsi,adx,cci,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change
2025-06-30,TSLA,317.66,SELL,0.8,30,323.89,46.90,21.85,-31.43,1.38,2.43,-1.04,353.91,323.89,293.88,2,-1,-1,-1,-1,-1,1
2025-06-27,TSLA,323.63,SELL,0.8,30,325.33,49.27,23.25,-17.21,2.11,2.67,-0.56,356.74,325.33,293.92,2,-1,-1,-1,-1,-1,1
2025-06-26,TSLA,325.78,SELL,0.9,30,327.07,50.16,23.84,-7.75,2.68,2.81,-0.12,361.61,327.07,292.53,2,-2,-2,-2,-2,-2,-2
2025-06-25,TSLA,327.55,HOLD,0.6,20,328.63,50.86,24.81,1.62,3.16,2.84,0.32,365.52,328.63,291.74,2,0,1,1,1,0,-1
2025-06-24,TSLA,340.47,SELL,0.8,30,330.39,56.16,26.88,59.21,3.59,2.85,0.74,370.18,330.39,290.61,2,-2,-2,-2,-1,-2,-2
2025-06-23,TSLA,348.68,BUY,0.7,30,330.34,60.25,29.85,57.31,3.85,4.29,-0.44,370.07,330.34,290.6,2,1,2,2,1,1,-1
2025-06-20,TSLA,322.16,HOLD,0.6,20,329.96,51.35,33.4,-28.55,3.28,6.29,-3.01,369.12,329.96,290.79,2,1,1,1,1,1,0
2025-06-19,TSLA,322.05,SELL,0.8,30,330.58,51.31,34.95,-39.3,3.62,7.04,-3.42,369.62,330.58,291.53,2,-1,-1,-1,-1,-1,-1
2025-06-18,TSLA,322.05,SELL,0.9,30,330.58,51.31,34.95,-39.3,3.62,7.04,-3.42,369.62,330.58,291.53,2,-2,-2,-2,-1,-2,-2
2025-06-17,TSLA,316.35,SELL,0.9,30,331.67,49.07,36.41,-55.97,4.03,7.9,-3.87,370.91,331.67,292.42,2,-2,-2,-2,-2,-2,-2
2025-06-16,TSLA,329.13,SELL,0.7,30,332.95,53.95,33.02,-19.62,4.44,7.97,-3.53,371.79,332.95,294.12,2,-1,-1,-1,0,-1,1
