date,symbol,close,trading_signal,confidence_level,position_size,sma,rsi,adx,cci,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change
2025-01-01,WMT,89.68,HOLD,0.5,10,92.65,45.35,43.45,-139.71,0.57,1.33,-0.76,95.78,92.65,89.52,0,0,0,0,0,0,0
2025-01-02,WMT,89.33,HOLD,0.5,20,92.48,44.0,41.92,-135.63,0.36,1.14,-0.77,95.93,92.48,89.03,1,0,0,0,1,0,0
2025-01-03,WMT,90.1,SELL,0.8,40,92.31,47.73,39.96,-92.57,0.26,0.96,-0.7,95.87,92.31,88.75,1,-1,-1,-1,0,-1,-1
2025-01-06,WMT,90.75,HOLD,0.5,10,92.13,50.39,35.77,-54.93,0.17,0.73,-0.56,95.62,92.13,88.64,0,0,0,0,0,0,0
2025-01-07,WMT,90.13,HOLD,0.5,10,91.9,47.35,32.95,-66.99,0.05,0.54,-0.49,95.27,91.9,88.53,0,0,0,0,0,0,0
2025-01-08,WMT,91.11,HOLD,0.5,20,91.81,52.09,30.55,-44.4,0.11,0.49,-0.38,95.16,91.81,88.45,1,0,0,0,0,1,0
2025-01-09,WMT,91.11,HOLD,0.5,10,91.81,52.09,30.55,-44.4,0.11,0.49,-0.38,95.16,91.81,88.45,0,0,0,0,0,0,0
2025-01-10,WMT,92.31,HOLD,0.5,10,91.74,57.0,29.17,21.49,0.22,0.43,-0.22,95.0,91.74,88.48,0,0,0,0,0,0,0
2025-01-13,WMT,90.85,HOLD,0.5,10,91.58,50.19,25.67,-29.29,0.18,0.35,-0.17,94.68,91.58,88.48,0,0,0,0,0,0,0
2025-01-14,WMT,90.11,HOLD,0.5,10,91.43,47.17,24.27,-52.03,0.1,0.3,-0.2,94.5,91.43,88.36,0,0,0,0,0,0,0
2025-01-15,WMT,90.66,HOLD,0.5,10,91.28,49.68,22.86,-38.61,0.08,0.26,-0.17,94.21,91.28,88.36,0,0,0,0,0,0,0
2025-01-16,WMT,90.62,HOLD,0.5,20,91.1,49.5,21.56,-48.17,0.06,0.22,-0.16,93.72,91.1,88.49,1,1,1,1,1,1,0
2025-01-17,WMT,91.25,HOLD,0.5,10,90.93,52.49,20.07,9.26,0.09,0.19,-0.1,92.97,90.93,88.9,0,0,0,0,0,0,0
2025-01-20,WMT,91.25,HOLD,0.5,10,90.93,51.35,15.22,9.26,-0.11,-0.11,-0.0,92.97,90.93,88.9,0,0,0,0,0,0,0
2025-01-21,WMT,92.39,BUY,0.7,40,90.91,55.89,15.53,138.48,-0.09,-0.23,0.15,92.87,90.91,88.95,0,0,0,0,0,0,0
2025-01-22,WMT,92.53,BUY,0.7,40,90.9,56.88,14.36,149.67,0.08,-0.12,0.2,92.83,90.9,88.97,0,0,0,0,0,0,0
2025-01-23,WMT,93.11,BUY,0.7,40,90.98,59.38,14.0,143.74,0.21,-0.06,0.27,93.12,90.98,88.84,0,0,0,0,0,0,0
