date,symbol,close,trading_signal,confidence_level,position_size,sma,rsi,adx,cci,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change
2025-01-01,JNJ,141.22,HOLD,0.5,10,143.19,37.89,37.35,-78.48,-2.15,-2.24,0.08,148.07,143.19,138.3,0,0,0,0,0,0,0
2025-01-02,JNJ,140.63,HOLD,0.6,20,142.78,36.26,37.36,-65.75,-2.11,-2.21,0.1,147.05,142.78,138.51,1,1,1,1,1,1,1
2025-01-03,JNJ,140.8,HOLD,0.5,10,142.47,37.09,35.16,-77.53,-2.04,-2.18,0.14,146.37,142.47,138.57,0,0,0,0,0,0,0
2025-01-06,JNJ,140.28,HOLD,0.5,10,142.19,35.76,37.93,-89.34,-1.93,-2.07,0.14,145.84,142.19,138.53,0,0,0,0,0,0,0
2025-01-07,JNJ,142.79,BUY,0.8,60,142.04,47.58,36.49,8.0,-1.63,-1.93,0.3,145.31,142.04,138.76,2,2,2,2,1,2,1
2025-01-08,JNJ,138.92,SELL,0.8,40,141.68,36.63,34.67,-131.28,-1.71,-1.86,0.15,144.66,141.68,138.7,2,-2,-1,-1,0,-1,-1
2025-01-09,JNJ,138.92,SELL,0.7,30,141.68,36.63,34.67,-131.28,-1.71,-1.86,0.15,144.66,141.68,138.7,2,-1,-1,-1,0,-1,-1
2025-01-10,JNJ,138.72,HOLD,0.5,20,141.33,36.15,34.41,-184.73,-1.78,-1.85,0.06,143.95,141.33,138.7,1,1,1,1,1,1,0
2025-01-13,JNJ,141.07,BUY,0.7,40,141.22,45.45,23.49,-54.23,-1.5,-1.63,0.13,143.71,141.22,138.74,2,2,2,2,2,1,0
2025-01-14,JNJ,141.34,SELL,0.8,40,141.15,45.97,25.86,-33.65,-1.45,-1.71,0.26,143.53,141.15,138.77,2,-2,-1,-1,-1,-2,-2
2025-01-15,JNJ,141.56,HOLD,0.5,10,141.07,46.59,28.08,54.49,-1.33,-1.67,0.34,143.27,141.07,138.87,0,0,0,0,0,0,0
2025-01-16,JNJ,144.29,BUY,0.7,40,141.26,55.5,26.85,164.44,-0.98,-1.53,0.56,143.85,141.26,138.67,0,0,0,0,0,0,0
2025-01-17,JNJ,143.57,BUY,0.7,40,141.29,52.98,25.85,191.84,-0.74,-1.37,0.63,143.97,141.29,138.61,0,0,0,0,0,0,0
